--- Distribuição da Posição-sujeito na Categoria: 'CATEGORIA 1 — VERDADE COMO FUNDAMENTO IDENTITÁRIO, NORMATIVO E EPISTÊMICO DA PROFISSÃO' ---
Total de textos únicos analisados: 128

index,Index,Posição-sujeito / Autor,Quantidade,Porcentagem (%)
19,"1.3 Verdade, valores profissionais e fronteiras do campo",José Henrique Mariante,5
20,"1.3 Verdade, valores profissionais e fronteiras do campo",Cristina Tardáguila,4
21,"1.3 Verdade, valores profissionais e fronteiras do campo",Fabiana Moraes,3
22,"1.3 Verdade, valores profissionais e fronteiras do campo",Januária Cristina Alves,1
23,"1.3 Verdade, valores profissionais e fronteiras do campo",Natália Viana,1

Categoria Principal: "CATEGORIA 2 — VERDADE, SOCIEDADE E DEMOCRACIA"

index,Categoria,Autor / Nível,Quantidade de Textos
0,"CATEGORIA 2 — VERDADE, SOCIEDADE E DEMOCRACIA",[TOTAL DA CATEGORIA],24
1,"CATEGORIA 2 — VERDADE, SOCIEDADE E DEMOCRACIA",Carlos Alberto Di Franco,6
2,"CATEGORIA 2 — VERDADE, SOCIEDADE E DEMOCRACIA",Cristina Tardáguila,4
3,"CATEGORIA 2 — VERDADE, SOCIEDADE E DEMOCRACIA",Míriam Leitão,4
4,"CATEGORIA 2 — VERDADE, SOCIEDADE E DEMOCRACIA",Fabiana Moraes,3
5,"CATEGORIA 2 — VERDADE, SOCIEDADE E DEMOCRACIA",FB,2
6,"CATEGORIA 2 — VERDADE, SOCIEDADE E DEMOCRACIA",José Henrique Mariante,2
7,"CATEGORIA 2 — VERDADE, SOCIEDADE E DEMOCRACIA",Natália Viana,2
8,"CATEGORIA 2 — VERDADE, SOCIEDADE E DEMOCRACIA",Januária Cristina Alves,1

Categoria Principal: "CATEGORIA 3 — VERDADE E MÉTODOS DE APURAÇÃO"

index,Categoria,Autor / Nível,Quantidade de Textos
0,CATEGORIA 3 — VERDADE E MÉTODOS DE APURAÇÃO,[TOTAL DA CATEGORIA],16
1,CATEGORIA 3 — VERDADE E MÉTODOS DE APURAÇÃO,Cristina Tardáguila,12
2,CATEGORIA 3 — VERDADE E MÉTODOS DE APURAÇÃO,FB,1
3,CATEGORIA 3 — VERDADE E MÉTODOS DE APURAÇÃO,Flávia Lima,1
4,CATEGORIA 3 — VERDADE E MÉTODOS DE APURAÇÃO,Míriam Leitão,1
5,CATEGORIA 3 — VERDADE E MÉTODOS DE APURAÇÃO,Natália Viana,1

Categoria Principal: "CATEGORIA 4 — VERDADE EM DISPUTA: CORREÇÃO, AUTORIDADE E MOBILIZAÇÃO"
Total de textos geral nesta categoria: 479

index,Subcategoria,Autor / Nível,Quantidade de Textos
0,4.1 Verdade contra mentira e desinformação,[TOTAL DA SUBCATEGORIA],70
1,4.1 Verdade contra mentira e desinformação,Míriam Leitão,28
2,4.1 Verdade contra mentira e desinformação,Cristina Tardáguila,17
3,4.1 Verdade contra mentira e desinformação,Carlos Alberto Di Franco,9
4,4.1 Verdade contra mentira e desinformação,Natália Viana,7
5,4.1 Verdade contra mentira e desinformação,Flávia Lima,3
6,4.1 Verdade contra mentira e desinformação,Januária Cristina Alves,2
7,4.1 Verdade contra mentira e desinformação,Fabiana Moraes,2
8,4.1 Verdade contra mentira e desinformação,FB,1
9,4.1 Verdade contra mentira e desinformação,José Henrique Mariante,1
10,4.2 Verdade como clausura do debate e mobilização do público,[TOTAL DA SUBCATEGORIA],409
11,4.2 Verdade como clausura do debate e mobilização do público,Míriam Leitão,198
12,4.2 Verdade como clausura do debate e mobilização do público,FB,51
13,4.2 Verdade como clausura do debate e mobilização do público,Fabiana Moraes,43
14,4.2 Verdade como clausura do debate e mobilização do público,Cristina Tardáguila,41
15,4.2 Verdade como clausura do debate e mobilização do público,Carlos Alberto Di Franco,24
16,4.2 Verdade como clausura do debate e mobilização do público,José Henrique Mariante,19
17,4.2 Verdade como clausura do debate e mobilização do público,Natália Viana,17
18,4.2 Verdade como clausura do debate e mobilização do público,Flávia Lima,12
19,4.2 Verdade como clausura do debate e mobilização do público,Januária Cristina Alves,3
20,4.2 Verdade como clausura do debate e mobilização do público,Eugênio Bucci,1

Categoria Principal: "CATEGORIA 5 — VERDADE E MEDIAÇÃO PEDAGÓGICA COM O PÚBLICO"

index,Categoria,Autor / Nível,Quantidade de Textos
0,CATEGORIA 5 — VERDADE E MEDIAÇÃO PEDAGÓGICA COM O PÚBLICO,[TOTAL DA CATEGORIA],3
1,CATEGORIA 5 — VERDADE E MEDIAÇÃO PEDAGÓGICA COM O PÚBLICO,Cristina Tardáguila,2
2,CATEGORIA 5 — VERDADE E MEDIAÇÃO PEDAGÓGICA COM O PÚBLICO,Míriam Leitão,1
