--- Distribuição da Posição-sujeito na Categoria: 'CATEGORIA 1 — VERDADE COMO FUNDAMENTO IDENTITÁRIO, NORMATIVO E EPISTÊMICO DA PROFISSÃO' ---
Total de textos únicos analisados: 128

index,Index,Posição-sujeito / Autor,Quantidade,Porcentagem (%)
8,1_a1,Carlos Alberto Di Franco,19,35.19
9,1_a2,José Henrique Mariante,5,9.26
10,1_a3,Cristina Tardáguila,4,7.41
11,1_a4,Fabiana Moraes,3,5.56
12,1_a5,Januária Cristina Alves,1,1.85
13,1_a6,Natália Viana,1,1.85
14,2,2.4 Cenografia,10,18.52
15,2_a1,Carlos Alberto Di Franco,10,18.52
16,3,2.5 Autoridade institucional,29,53.7
17,3_a1,Carlos Alberto Di Franco,19,35.19
18,3_a2,Cristina Tardáguila,4,7.41
19,3_a3,José Henrique Mariante,3,5.56
20,3_a4,Fabiana Moraes,2,3.7
21,3_a5,Natália Viana,1,1.85
22,4,2.3 Polifonia,44,81.48
23,4_a1,Carlos Alberto Di Franco,33,61.11
24,4_a2,José Henrique Mariante,4,7.41
25,4_a3,Fabiana Moraes,3,5.56
26,4_a4,Cristina Tardáguila,2,3.7
27,4_a5,Januária Cristina Alves,1,1.85
28,4_a6,Natália Viana,1,1.85

--- Distribuição do Papel do Leitor na Subcategoria: '1.3 Verdade, valores profissionais e fronteiras do campo' ---
Total de textos únicos analisados: 54

index,Index,Papel do Leitor / Autor,Quantidade,Porcentagem (%)
0,0,3.1 Parceiro,7,12.96
1,0_a1,Carlos Alberto Di Franco,6,11.11
2,0_a2,José Henrique Mariante,1,1.85
3,1,3.2 Aprendiz,4,7.41
4,1_a1,Carlos Alberto Di Franco,3,5.56
5,1_a2,José Henrique Mariante,1,1.85
6,2,3.3 Cidadão,29,53.7
7,2_a1,Carlos Alberto Di Franco,21,38.89
8,2_a2,José Henrique Mariante,3,5.56
9,2_a3,Fabiana Moraes,2,3.7
10,2_a4,Cristina Tardáguila,1,1.85
11,2_a5,Januária Cristina Alves,1,1.85
12,2_a6,Natália Viana,1,1.85
13,3,3.6 Público a ser mobilizado,5,9.26
14,3_a1,Carlos Alberto Di Franco,5,9.26
15,4,3.5 Vítima da desinformação,8,14.81
16,4_a1,Carlos Alberto Di Franco,5,9.26
17,4_a2,Cristina Tardáguila,3,5.56
18,5,3.4 Cúmplice,1,1.85
19,5_a1,Fabiana Moraes,1,1.85

--- Distribuição da Posição-sujeito na Categoria: 'CATEGORIA 2 — VERDADE, SOCIEDADE E DEMOCRACIA' ---
Total de textos únicos analisados: 24

index,Index,Posição-sujeito / Autor,Quantidade,Porcentagem (%)
0,0,1.1.5 - Comentarista,8,33.33
1,0_a1,Carlos Alberto Di Franco,5,20.83
2,0_a2,Míriam Leitão,2,8.33
3,0_a3,Fabiana Moraes,1,4.17
4,1,1.1.1 - Participante,5,20.83
5,1_a1,Fabiana Moraes,2,8.33
6,1_a2,Carlos Alberto Di Franco,1,4.17
7,1_a3,Míriam Leitão,1,4.17
8,1_a4,Natália Viana,1,4.17
9,2,1.1.3 - Observador,10,41.67
10,2_a1,Cristina Tardáguila,4,16.67
11,2_a2,José Henrique Mariante,2,8.33
12,2_a3,FB,1,4.17
13,2_a4,Januária Cristina Alves,1,4.17
14,2_a5,Míriam Leitão,1,4.17
15,2_a6,Natália Viana,1,4.17
16,3,1.1.4 - Especialista,1,4.17
17,3_a1,FB,1,4.17

--- Distribuição do Papel Enunciativo na Categoria: 'CATEGORIA 2 — VERDADE, SOCIEDADE E DEMOCRACIA' ---
Total de textos únicos analisados: 24

index,Index,Papel Enunciativo / Autor,Quantidade,Porcentagem (%)
0,0,1.2.3 Crítico-Monitor (ou Cão de Guarda),9,37.5
